[GIN] 2026/09/11 - 14:27:40 | 200 |   47.9462757s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:27:40 | 200 |      2.1237ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:27:40 | 200 |      6.8514ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:27:40 | 200 |     98.1686ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:27:40 | 200 |    105.3559ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:27:40 | 200 |    105.9567ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:27:40 | 200 |    107.0797ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:27:40 | 200 |    114.4045ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:28:01 | 200 |   20.9380743s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:28:01 | 200 |      2.1665ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 14:28:01 | 200 |      6.8187ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:28:01 | 200 |      6.6708ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:28:01 | 200 |      8.6011ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:28:01 | 200 |      8.3607ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:28:01 | 200 |     10.6445ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 14:28:01 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 14:28:03 | 200 |    2.0727956s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 14:29:30 | 200 |         1m26s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:29:45 | 200 |    15.238443s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 14:29:46 | 200 |      3.8807ms |       127.0.0.1 | GET      "/api/tags"
